reward 19,reward 20,reward 16,reward 26,reward 14,reward 1,reward 25,reward 28,reward 29,reward 3,reward 5,reward 8,reward 10,reward 21,reward 11,StepNum,reward 9,reward 15,reward 18,reward 7,reward 0,reward 22,reward 6,reward 13,reward 2,reward 12,reward 24,reward 27,reward 17,reward 4,reward 23
250.16493109534593,246.0907083535224,254.04253179407357,-99446.75844615656,264.7703181376506,314.84223459141464,-99443.57492002728,-99459.87479378606,-99460.4928898794,297.35196612032354,292.60730275135404,283.240207612529,279.8587619853572,242.23302038083702,277.60301558415813,37000,280.88525908689087,258.0363522945608,251.67298499706763,284.54933867992406,377.8944151890383,239.20713966663632,286.0343027073859,268.27812829626123,298.1284403022975,272.01979088045886,-99443.1500588495,-99458.78366343891,253.42257591416939,295.1438042040718,229.24797612213447
250.16493109534593,246.0907083535224,254.04253179407357,-99446.75844615656,264.7703181376506,314.84223459141464,-99443.57492002728,-99459.87479378606,-99460.4928898794,297.35196612032354,292.60730275135404,283.240207612529,279.8587619853572,242.23302038083702,277.60301558415813,38000,280.88525908689087,258.0363522945608,251.67298499706763,284.54933867992406,377.8944151890383,239.20713966663632,286.0343027073859,268.27812829626123,298.1284403022975,272.01979088045886,-99443.1500588495,-99458.78366343891,253.42257591416939,295.1438042040718,229.24797612213447
254.04253179407357,253.42257591416939,264.7703181376506,229.24797612213447,272.01979088045886,314.84223459141464,239.20713966663632,-99443.57492002728,-99446.75844615656,297.35196612032354,292.60730275135404,283.478535496954,280.88525908689087,251.67298499706763,279.8587619853572,39000,283.240207612529,268.27812829626123,258.0363522945608,284.54933867992406,377.8944151890383,250.16493109534593,286.0343027073859,277.60301558415813,298.1284403022975,279.26817898983035,242.23302038083702,-99443.1500588495,259.6816213675959,295.1438042040718,246.0907083535224
258.0363522945608,254.04253179407357,268.27812829626123,239.20713966663632,277.60301558415813,316.6597470253693,242.23302038083702,-99443.1500588495,-99443.57492002728,298.1284403022975,295.1438042040718,284.54933867992406,283.240207612529,253.42257591416939,280.88525908689087,40000,283.478535496954,272.01979088045886,259.6816213675959,286.0343027073859,377.8944151890383,251.67298499706763,292.60730275135404,279.26817898983035,314.84223459141464,279.8587619853572,246.0907083535224,229.24797612213447,264.7703181376506,297.35196612032354,250.16493109534593
259.6816213675959,258.0363522945608,268.27812829626123,242.23302038083702,277.60301558415813,316.6597470253693,246.0907083535224,229.24797612213447,-99443.1500588495,298.1284403022975,295.1438042040718,284.54933867992406,283.240207612529,254.04253179407357,280.88525908689087,41000,283.478535496954,272.01979088045886,260.7457776255753,286.0343027073859,377.8944151890383,253.42257591416939,292.60730275135404,279.26817898983035,314.84223459141464,279.8587619853572,250.16493109534593,239.20713966663632,264.7703181376506,297.35196612032354,251.67298499706763
268.27812829626123,264.7703181376506,277.60301558415813,251.67298499706763,279.8587619853572,372.8227963768805,253.42257591416939,246.0907083535224,242.23302038083702,316.6597470253693,298.1284403022975,292.60730275135404,284.54933867992406,260.7457776255753,283.478535496954,42000,286.0343027073859,279.26817898983035,272.01979088045886,295.1438042040718,377.8944151890383,259.6816213675959,297.35196612032354,280.88525908689087,328.08735276848284,283.240207612529,254.04253179407357,250.16493109534593,272.1316367703267,314.84223459141464,258.0363522945608
268.27812829626123,264.7703181376506,277.60301558415813,251.67298499706763,279.8587619853572,372.8227963768805,253.42257591416939,247.17825824397335,246.0907083535224,316.6597470253693,298.1284403022975,292.60730275135404,284.54933867992406,260.7457776255753,283.478535496954,43000,286.0343027073859,279.26817898983035,272.01979088045886,295.1438042040718,377.8944151890383,259.6816213675959,297.35196612032354,280.88525908689087,328.08735276848284,283.240207612529,254.04253179407357,250.16493109534593,272.1316367703267,314.84223459141464,258.0363522945608
272.01979088045886,268.27812829626123,279.26817898983035,253.42257591416939,280.88525908689087,372.8227963768805,254.04253179407357,251.67298499706763,250.16493109534593,328.08735276848284,314.84223459141464,295.1438042040718,286.0343027073859,264.7703181376506,284.54933867992406,44000,292.60730275135404,279.8587619853572,272.1316367703267,297.35196612032354,377.8944151890383,260.7457776255753,298.1284403022975,283.240207612529,328.99151067189695,283.478535496954,258.0363522945608,252.9655278886816,277.60301558415813,316.6597470253693,259.6816213675959
272.01979088045886,268.27812829626123,279.26817898983035,254.04253179407357,280.88525908689087,372.8227963768805,258.0363522945608,252.9655278886816,251.67298499706763,328.08735276848284,314.84223459141464,295.1438042040718,286.0343027073859,264.7703181376506,284.54933867992406,45000,292.60730275135404,279.8587619853572,272.1316367703267,297.35196612032354,377.8944151890383,263.4781242522644,298.1284403022975,283.240207612529,328.99151067189695,283.478535496954,259.6816213675959,253.42257591416939,277.60301558415813,316.6597470253693,260.7457776255753
272.01979088045886,268.27812829626123,279.26817898983035,254.04253179407357,280.88525908689087,372.8227963768805,258.0363522945608,252.9655278886816,251.67298499706763,328.08735276848284,314.84223459141464,295.1438042040718,286.0343027073859,264.7703181376506,284.54933867992406,46000,292.60730275135404,279.8587619853572,272.1316367703267,297.35196612032354,377.8944151890383,263.4781242522644,298.1284403022975,283.240207612529,328.99151067189695,283.478535496954,259.6816213675959,253.42257591416939,277.60301558415813,316.6597470253693,260.7457776255753
272.01979088045886,268.27812829626123,279.26817898983035,254.04253179407357,280.88525908689087,372.8227963768805,258.0363522945608,252.9655278886816,251.67298499706763,328.08735276848284,314.84223459141464,295.1438042040718,286.0343027073859,264.7703181376506,284.54933867992406,47000,292.60730275135404,279.8587619853572,272.1316367703267,297.35196612032354,377.8944151890383,263.4781242522644,298.1284403022975,283.240207612529,328.99151067189695,283.478535496954,259.6816213675959,253.42257591416939,277.60301558415813,316.6597470253693,260.7457776255753
272.01979088045886,268.27812829626123,279.26817898983035,254.04253179407357,280.88525908689087,372.8227963768805,258.0363522945608,252.9655278886816,251.67298499706763,328.08735276848284,314.84223459141464,295.1438042040718,286.0343027073859,264.7703181376506,284.54933867992406,48000,292.60730275135404,279.8587619853572,272.1316367703267,297.35196612032354,377.8944151890383,263.4781242522644,298.1284403022975,283.240207612529,328.99151067189695,283.478535496954,259.6816213675959,253.42257591416939,277.60301558415813,316.6597470253693,260.7457776255753
272.1316367703267,272.01979088045886,279.8587619853572,258.0363522945608,283.240207612529,372.8227963768805,259.6816213675959,253.42257591416939,252.9655278886816,328.08735276848284,316.6597470253693,297.35196612032354,292.60730275135404,268.27812829626123,286.0343027073859,49000,295.1438042040718,280.88525908689087,277.60301558415813,298.1284403022975,377.8944151890383,264.7703181376506,314.84223459141464,283.478535496954,328.99151067189695,284.54933867992406,260.7457776255753,254.04253179407357,279.26817898983035,320.8373647747434,263.4781242522644
272.1316367703267,272.01979088045886,279.8587619853572,259.6816213675959,283.240207612529,372.8227963768805,260.7457776255753,254.04253179407357,253.42257591416939,328.08735276848284,316.6597470253693,297.35196612032354,292.60730275135404,268.27812829626123,286.0343027073859,50000,295.1438042040718,280.88525908689087,277.60301558415813,298.1284403022975,377.8944151890383,264.7703181376506,314.84223459141464,283.478535496954,328.99151067189695,284.54933867992406,263.4781242522644,258.0363522945608,279.26817898983035,320.8373647747434,263.79582707359725
272.1316367703267,272.01979088045886,279.8587619853572,259.6816213675959,283.240207612529,372.8227963768805,260.7457776255753,254.04253179407357,253.42257591416939,328.08735276848284,316.6597470253693,297.35196612032354,292.60730275135404,268.27812829626123,286.0343027073859,51000,295.1438042040718,280.88525908689087,277.60301558415813,298.1284403022975,377.8944151890383,264.7703181376506,314.84223459141464,283.478535496954,328.99151067189695,284.54933867992406,263.4781242522644,258.0363522945608,279.26817898983035,320.8373647747434,263.79582707359725
272.1316367703267,272.01979088045886,279.8587619853572,259.6816213675959,283.240207612529,372.8227963768805,260.7457776255753,254.04253179407357,253.42257591416939,328.08735276848284,316.6597470253693,297.35196612032354,292.60730275135404,268.27812829626123,286.0343027073859,52000,295.1438042040718,280.88525908689087,277.60301558415813,298.1284403022975,377.8944151890383,264.7703181376506,314.84223459141464,283.478535496954,328.99151067189695,284.54933867992406,263.4781242522644,258.0363522945608,279.26817898983035,320.8373647747434,263.79582707359725
272.1316367703267,272.01979088045886,279.8587619853572,259.6816213675959,283.240207612529,372.8227963768805,260.7457776255753,254.04253179407357,253.42257591416939,328.08735276848284,316.6597470253693,297.35196612032354,292.60730275135404,268.27812829626123,286.0343027073859,53000,295.1438042040718,280.88525908689087,277.60301558415813,298.1284403022975,377.8944151890383,264.7703181376506,314.84223459141464,283.478535496954,328.99151067189695,284.54933867992406,263.4781242522644,258.0363522945608,279.26817898983035,320.8373647747434,263.79582707359725
