reward 24,reward 22,reward 21,reward 18,reward 17,reward 10,reward 8,reward 7,reward 3,reward 13,reward 5,reward 29,reward 2,reward 19,reward 23,reward 26,reward 4,reward 14,reward 27,reward 16,reward 1,reward 28,reward 11,reward 12,reward 15,reward 25,StepNum,reward 20,reward 9,reward 6,reward 0
71.47275424721111,71.91221852637317,71.91404899020291,72.19675681365952,72.28252568370388,73.18481632236747,73.32683027432381,73.54860191462653,75.10251581165028,72.74554626944952,74.69869762848242,71.39575391516502,75.11030457807418,72.15225012195354,71.51822068455678,71.435534296686,74.86758148907633,72.64525156325055,71.42673425464446,72.28967965735433,299.5231331566594,71.40954524499904,72.90569443162578,72.75339797386329,72.33806482269394,71.44802457554556,36000,72.08997939636504,73.2037512431754,73.71431200486647,344.33944095523896
71.47275424721111,71.91221852637317,71.91404899020291,72.19675681365952,72.28252568370388,73.18481632236747,73.32683027432381,73.54860191462653,75.10251581165028,72.74554626944952,74.69869762848242,71.39575391516502,75.11030457807418,72.15225012195354,71.51822068455678,71.435534296686,74.86758148907633,72.64525156325055,71.42673425464446,72.28967965735433,299.5231331566594,71.40954524499904,72.90569443162578,72.75339797386329,72.33806482269394,71.44802457554556,37000,72.08997939636504,73.2037512431754,73.71431200486647,344.33944095523896
71.47275424721111,71.91221852637317,71.91404899020291,72.19675681365952,72.28252568370388,73.18481632236747,73.32683027432381,73.54860191462653,75.10251581165028,72.74554626944952,74.69869762848242,71.39575391516502,75.11030457807418,72.15225012195354,71.51822068455678,71.435534296686,74.86758148907633,72.64525156325055,71.42673425464446,72.28967965735433,299.5231331566594,71.40954524499904,72.90569443162578,72.75339797386329,72.33806482269394,71.44802457554556,38000,72.08997939636504,73.2037512431754,73.71431200486647,344.33944095523896
71.91221852637317,72.08997939636504,72.15225012195354,72.28967965735433,72.33806482269394,73.2037512431754,73.54860191462653,73.71431200486647,75.11030457807418,72.90569443162578,74.86758148907633,71.435534296686,299.5231331566594,72.28252568370388,71.91404899020291,71.48859946508158,75.10251581165028,72.75339797386329,71.47275424721111,72.64525156325055,316.9579096617545,71.44802457554556,73.18481632236747,73.05608811980478,72.74554626944952,71.51822068455678,39000,72.19675681365952,73.32683027432381,74.69869762848242,344.33944095523896
71.91221852637317,72.08997939636504,72.15225012195354,72.28967965735433,72.33806482269394,73.2037512431754,73.54860191462653,73.71431200486647,75.11030457807418,72.90569443162578,74.86758148907633,71.435534296686,299.5231331566594,72.28252568370388,71.91404899020291,71.48859946508158,75.10251581165028,72.75339797386329,71.47275424721111,72.64525156325055,316.9579096617545,71.44802457554556,73.18481632236747,73.05608811980478,72.74554626944952,71.51822068455678,40000,72.19675681365952,73.32683027432381,74.69869762848242,344.33944095523896
71.91221852637317,72.08997939636504,72.15225012195354,72.28967965735433,72.33806482269394,73.2037512431754,73.54860191462653,73.71431200486647,75.11030457807418,72.90569443162578,74.86758148907633,71.44802457554556,299.5231331566594,72.28252568370388,71.91404899020291,71.51822068455678,75.10251581165028,72.75339797386329,71.48859946508158,72.64525156325055,316.9579096617545,71.47275424721111,73.18481632236747,73.05608811980478,72.74554626944952,71.77376930430067,41000,72.19675681365952,73.32683027432381,74.69869762848242,344.33944095523896
71.91221852637317,72.08997939636504,72.15225012195354,72.28967965735433,72.33806482269394,73.2037512431754,73.54860191462653,73.71431200486647,75.11030457807418,72.90569443162578,74.86758148907633,71.57556676515561,299.5231331566594,72.28252568370388,71.91404899020291,71.84771143216162,75.10251581165028,72.75339797386329,71.77376930430067,72.64525156325055,316.9579096617545,71.63084227857776,73.18481632236747,73.05608811980478,72.74554626944952,71.85277767955434,42000,72.19675681365952,73.32683027432381,74.69869762848242,344.33944095523896
71.91221852637317,72.08997939636504,72.15225012195354,72.28967965735433,72.33806482269394,73.2037512431754,73.54860191462653,73.71431200486647,75.11030457807418,72.90569443162578,74.86758148907633,71.57556676515561,299.5231331566594,72.28252568370388,71.91404899020291,71.84771143216162,75.10251581165028,72.75339797386329,71.77376930430067,72.64525156325055,316.9579096617545,71.63084227857776,73.18481632236747,73.05608811980478,72.74554626944952,71.85277767955434,43000,72.19675681365952,73.32683027432381,74.69869762848242,344.33944095523896
71.91221852637317,72.08997939636504,72.15225012195354,72.28967965735433,72.33806482269394,73.2037512431754,73.54860191462653,73.71431200486647,75.11030457807418,72.90569443162578,74.86758148907633,71.63084227857776,299.5231331566594,72.28252568370388,71.91404899020291,71.85265222820424,75.10251581165028,72.75339797386329,71.84771143216162,72.64525156325055,316.9579096617545,71.77376930430067,73.18481632236747,73.05608811980478,72.74554626944952,71.85277767955434,44000,72.19675681365952,73.32683027432381,74.69869762848242,344.33944095523896
71.91404899020291,72.15225012195354,72.19675681365952,72.33806482269394,72.64525156325055,73.2037512431754,73.54860191462653,73.71431200486647,75.11030457807418,72.90569443162578,74.86758148907633,71.84771143216162,299.5231331566594,72.28967965735433,72.08997939636504,71.85286713293414,75.10251581165028,72.79102131057638,71.85277767955434,72.74554626944952,316.9579096617545,71.85265222820424,73.18481632236747,73.05608811980478,72.75339797386329,71.91221852637317,45000,72.28252568370388,73.32683027432381,74.69869762848242,344.33944095523896
