reward 15,reward 1,reward 13,reward 22,reward 11,reward 26,reward 5,StepNum,reward 19,reward 0,reward 27,reward 2,reward 3,reward 23,reward 20,reward 14,reward 12,reward 16,reward 9,reward 18,reward 10,reward 6,reward 25,reward 4,reward 17,reward 21,reward 29,reward 24,reward 8,reward 28,reward 7
611.5126175849558,654.7878353156469,613.784667479423,553.4381746109416,616.4511492351379,440.39601737792265,634.1447390885603,31000,586.0978516189275,664.2274193668964,435.180802078322,648.2433111058588,636.7271774720641,533.3656515488503,573.5177233540745,613.7461678159284,614.6512806466424,607.5823522515788,616.9567374337277,594.9558968519804,616.9186902054563,630.7785740116523,475.10184951194265,635.0690716367727,604.5447257996426,558.6044916340027,-98076.33291938645,524.7690244685236,619.5891389235895,435.0227170144911,628.7249473413298
611.5126175849558,654.7878353156469,613.784667479423,557.2503752353311,616.4511492351379,475.10184951194265,634.1447390885603,32000,586.0978516189275,664.2274193668964,440.39601737792265,648.2433111058588,636.7271774720641,553.4381746109416,573.5177233540745,613.7461678159284,614.6512806466424,607.5823522515788,616.9567374337277,594.9558968519804,616.9186902054563,630.7785740116523,524.7690244685236,635.0690716367727,604.5447257996426,558.6044916340027,435.0227170144911,533.3656515488503,619.5891389235895,435.180802078322,628.7249473413298
611.5126175849558,654.7878353156469,613.784667479423,557.2503752353311,616.4511492351379,475.10184951194265,634.1447390885603,33000,586.0978516189275,664.2274193668964,440.39601737792265,648.2433111058588,636.7271774720641,553.4381746109416,573.5177233540745,613.7461678159284,614.6512806466424,607.5823522515788,616.9567374337277,594.9558968519804,616.9186902054563,630.7785740116523,524.7690244685236,635.0690716367727,604.5447257996426,558.6044916340027,435.0227170144911,533.3656515488503,619.5891389235895,435.180802078322,628.7249473413298
613.7461678159284,654.7878353156469,614.6512806466424,558.6044916340027,616.9186902054563,524.7690244685236,634.1447390885603,34000,594.9558968519804,664.2274193668964,475.10184951194265,648.2433111058588,636.7271774720641,557.2503752353311,586.0978516189275,613.784667479423,616.4511492351379,611.5126175849558,619.5891389235895,604.5447257996426,616.9567374337277,630.7785740116523,533.3656515488503,635.0690716367727,607.5823522515788,573.5177233540745,435.180802078322,553.4381746109416,621.9365467752887,440.39601737792265,628.7249473413298
613.7461678159284,654.7878353156469,614.6512806466424,558.6044916340027,616.9186902054563,524.7690244685236,634.1447390885603,35000,594.9558968519804,664.2274193668964,475.10184951194265,648.2433111058588,636.7271774720641,557.2503752353311,586.0978516189275,613.784667479423,616.4511492351379,611.5126175849558,619.5891389235895,604.5447257996426,616.9567374337277,630.7785740116523,533.3656515488503,635.0690716367727,607.5823522515788,573.5177233540745,435.180802078322,553.4381746109416,621.9365467752887,440.39601737792265,628.7249473413298
613.7461678159284,654.7878353156469,614.6512806466424,573.5177233540745,616.9186902054563,533.3656515488503,634.1447390885603,36000,594.9558968519804,664.2274193668964,524.7690244685236,648.2433111058588,636.7271774720641,558.6044916340027,586.0978516189275,613.784667479423,616.4511492351379,611.5126175849558,619.5891389235895,604.5447257996426,616.9567374337277,630.7785740116523,553.4381746109416,635.0690716367727,607.5823522515788,585.6806676444539,440.39601737792265,557.2503752353311,621.9365467752887,475.10184951194265,628.7249473413298
613.7461678159284,654.7878353156469,614.6512806466424,573.5177233540745,616.9186902054563,553.4381746109416,634.1447390885603,37000,594.9558968519804,664.2274193668964,533.3656515488503,648.2433111058588,636.7271774720641,563.0052067738144,586.0978516189275,613.784667479423,616.4511492351379,611.5126175849558,619.5891389235895,604.5447257996426,616.9567374337277,630.7785740116523,557.2503752353311,635.0690716367727,607.5823522515788,585.6806676444539,475.10184951194265,558.6044916340027,621.9365467752887,524.7690244685236,628.7249473413298
613.7461678159284,654.7878353156469,614.6512806466424,573.5177233540745,616.9186902054563,553.4381746109416,634.1447390885603,38000,594.9558968519804,664.2274193668964,533.3656515488503,648.2433111058588,636.7271774720641,563.0052067738144,586.0978516189275,613.784667479423,616.4511492351379,611.5126175849558,619.5891389235895,604.5447257996426,616.9567374337277,630.7785740116523,557.2503752353311,635.0690716367727,607.5823522515788,585.6806676444539,475.10184951194265,558.6044916340027,621.9365467752887,524.7690244685236,628.7249473413298
613.7461678159284,654.7878353156469,614.6512806466424,573.5177233540745,616.9186902054563,553.4381746109416,634.1447390885603,39000,594.9558968519804,664.2274193668964,533.3656515488503,648.2433111058588,636.7271774720641,563.0052067738144,586.0978516189275,613.784667479423,616.4511492351379,611.5126175849558,619.5891389235895,604.5447257996426,616.9567374337277,630.7785740116523,557.2503752353311,635.0690716367727,607.5823522515788,585.6806676444539,475.10184951194265,558.6044916340027,621.9365467752887,524.7690244685236,628.7249473413298
613.7461678159284,654.7878353156469,614.6512806466424,585.6806676444539,616.9186902054563,557.2503752353311,634.1447390885603,40000,594.9558968519804,664.2274193668964,553.4381746109416,648.2433111058588,636.7271774720641,573.5177233540745,587.1145767098892,613.784667479423,616.4511492351379,611.5126175849558,619.5891389235895,604.5447257996426,616.9567374337277,630.7785740116523,558.6044916340027,635.0690716367727,607.5823522515788,586.0978516189275,524.7690244685236,563.0052067738144,621.9365467752887,533.3656515488503,628.7249473413298
