reward 4,reward 22,reward 21,reward 26,reward 8,reward 28,StepNum,reward 13,reward 25,reward 7,reward 3,reward 27,reward 9,reward 18,reward 1,reward 11,reward 20,reward 0,reward 14,reward 2,reward 15,reward 10,reward 12,reward 24,reward 29,reward 19,reward 5,reward 16,reward 23,reward 17,reward 6
257.4183131932268,189.7240042353111,190.05261225101083,183.0383990028713,213.9942453420581,182.4059021123984,31000,208.02799674494187,186.5789366366456,216.48501454899946,265.24887223505164,182.49963407665737,211.34757694720813,194.4068919043409,290.7685592533501,209.98409868683075,191.61550659257432,360.14394111384513,207.6105783008461,269.2589273945885,205.25913156750943,211.33894854948323,208.27045306513304,188.48638632029045,181.64076162315823,192.881729340319,245.92021941950665,200.4709618817438,188.6239618491083,199.32416569800378,245.49178294014516
257.4183131932268,190.05261225101083,191.61550659257432,186.5789366366456,213.9942453420581,182.49963407665737,32000,208.02799674494187,188.48638632029045,216.48501454899946,265.24887223505164,183.0383990028713,211.34757694720813,198.13172727008373,290.7685592533501,209.98409868683075,192.881729340319,360.14394111384513,207.6105783008461,269.2589273945885,205.25913156750943,211.33894854948323,208.27045306513304,188.6239618491083,182.4059021123984,194.4068919043409,245.92021941950665,200.4709618817438,189.7240042353111,199.32416569800378,245.49178294014516
257.4183131932268,191.61550659257432,192.881729340319,188.48638632029045,214.24886465697074,183.0383990028713,33000,208.27045306513304,188.6239618491083,216.48501454899946,265.24887223505164,186.5789366366456,213.9942453420581,199.32416569800378,290.7685592533501,211.33894854948323,194.4068919043409,360.14394111384513,208.02799674494187,269.2589273945885,207.6105783008461,211.34757694720813,209.98409868683075,189.7240042353111,182.49963407665737,198.13172727008373,245.92021941950665,205.25913156750943,190.05261225101083,200.4709618817438,245.49178294014516
257.4183131932268,191.61550659257432,192.881729340319,188.48638632029045,214.24886465697074,183.0383990028713,34000,208.27045306513304,188.6239618491083,216.48501454899946,265.24887223505164,186.5789366366456,213.9942453420581,199.32416569800378,290.7685592533501,211.33894854948323,194.4068919043409,360.14394111384513,208.02799674494187,269.2589273945885,207.6105783008461,211.34757694720813,209.98409868683075,189.7240042353111,182.49963407665737,198.13172727008373,245.92021941950665,205.25913156750943,190.05261225101083,200.4709618817438,245.49178294014516
257.4183131932268,192.881729340319,194.4068919043409,188.6239618491083,216.48501454899946,186.5789366366456,35000,209.98409868683075,189.7240042353111,238.7477840225244,265.24887223505164,188.48638632029045,214.24886465697074,200.4709618817438,290.7685592533501,211.34757694720813,198.13172727008373,360.14394111384513,208.27045306513304,269.2589273945885,208.02799674494187,213.9942453420581,211.33894854948323,190.05261225101083,183.0383990028713,199.32416569800378,245.92021941950665,207.6105783008461,191.61550659257432,205.25913156750943,245.49178294014516
257.4183131932268,192.881729340319,194.4068919043409,188.6239618491083,216.48501454899946,186.5789366366456,36000,209.98409868683075,189.7240042353111,238.7477840225244,265.24887223505164,188.48638632029045,214.24886465697074,200.4709618817438,290.7685592533501,211.34757694720813,198.13172727008373,360.14394111384513,208.27045306513304,269.2589273945885,208.02799674494187,213.9942453420581,211.33894854948323,190.05261225101083,185.69289826934562,199.32416569800378,245.92021941950665,207.6105783008461,191.61550659257432,205.25913156750943,245.49178294014516
257.4183131932268,192.881729340319,194.4068919043409,188.6239618491083,216.48501454899946,186.5789366366456,37000,209.98409868683075,189.7240042353111,238.7477840225244,265.24887223505164,188.48638632029045,214.24886465697074,200.4709618817438,290.7685592533501,211.34757694720813,198.13172727008373,360.14394111384513,208.27045306513304,269.2589273945885,208.02799674494187,213.9942453420581,211.33894854948323,190.05261225101083,185.69289826934562,199.32416569800378,245.92021941950665,207.6105783008461,191.61550659257432,205.25913156750943,245.49178294014516
257.4183131932268,192.881729340319,194.4068919043409,188.6239618491083,216.48501454899946,186.5789366366456,38000,209.98409868683075,189.7240042353111,238.7477840225244,265.24887223505164,188.48638632029045,214.24886465697074,200.4709618817438,290.7685592533501,211.34757694720813,198.13172727008373,360.14394111384513,208.27045306513304,269.2589273945885,208.02799674494187,213.9942453420581,211.33894854948323,190.05261225101083,185.69289826934562,199.32416569800378,245.92021941950665,207.6105783008461,191.61550659257432,205.25913156750943,245.49178294014516
257.4183131932268,199.32416569800378,200.4709618817438,191.61550659257432,216.48501454899946,189.7240042353111,39000,209.98409868683075,192.881729340319,238.7477840225244,265.24887223505164,190.05261225101083,214.24886465697074,205.25913156750943,290.7685592533501,211.34757694720813,203.79547555281653,360.14394111384513,208.27045306513304,269.2589273945885,208.02799674494187,213.9942453420581,211.33894854948323,194.4068919043409,188.6239618491083,204.46714849810635,245.92021941950665,207.6105783008461,198.13172727008373,206.84124377340095,245.49178294014516
257.4183131932268,199.32416569800378,200.4709618817438,191.61550659257432,216.48501454899946,189.7240042353111,40000,209.98409868683075,192.881729340319,238.7477840225244,265.24887223505164,190.05261225101083,214.24886465697074,205.25913156750943,290.7685592533501,211.34757694720813,203.79547555281653,360.14394111384513,208.27045306513304,269.2589273945885,208.02799674494187,213.9942453420581,211.33894854948323,194.4068919043409,188.6239618491083,204.46714849810635,245.92021941950665,207.6105783008461,198.13172727008373,206.84124377340095,245.49178294014516
257.4183131932268,199.32416569800378,200.4709618817438,191.61550659257432,216.48501454899946,189.7240042353111,41000,209.98409868683075,192.881729340319,238.7477840225244,265.24887223505164,190.05261225101083,214.24886465697074,205.25913156750943,290.7685592533501,211.34757694720813,203.79547555281653,360.14394111384513,208.27045306513304,269.2589273945885,208.02799674494187,213.9942453420581,211.33894854948323,194.4068919043409,188.6239618491083,204.46714849810635,245.92021941950665,207.6105783008461,198.13172727008373,206.84124377340095,245.49178294014516
257.4183131932268,203.79547555281653,204.46714849810635,196.52539425315882,216.48501454899946,192.881729340319,42000,209.98409868683075,198.13172727008373,238.7477840225244,265.24887223505164,194.4068919043409,214.24886465697074,206.4979047521278,290.7685592533501,211.34757694720813,204.75432767176292,360.14394111384513,208.27045306513304,269.2589273945885,208.02799674494187,213.9942453420581,211.33894854948323,199.32416569800378,191.61550659257432,205.25913156750943,245.92021941950665,207.6105783008461,200.4709618817438,206.84124377340095,245.49178294014516
257.4183131932268,203.79547555281653,204.46714849810635,196.52539425315882,216.48501454899946,192.881729340319,43000,209.98409868683075,198.13172727008373,238.7477840225244,265.24887223505164,194.4068919043409,214.24886465697074,206.4979047521278,290.7685592533501,211.34757694720813,204.75432767176292,360.14394111384513,208.27045306513304,269.2589273945885,208.02799674494187,213.9942453420581,211.33894854948323,199.32416569800378,191.61550659257432,205.25913156750943,245.92021941950665,207.6105783008461,200.4709618817438,206.84124377340095,245.49178294014516
257.4183131932268,203.79547555281653,204.46714849810635,196.52539425315882,216.48501454899946,192.881729340319,44000,209.98409868683075,198.13172727008373,238.7477840225244,265.24887223505164,194.4068919043409,214.24886465697074,206.4979047521278,290.7685592533501,211.34757694720813,204.75432767176292,360.14394111384513,208.27045306513304,269.2589273945885,208.02799674494187,213.9942453420581,211.33894854948323,199.32416569800378,191.61550659257432,205.25913156750943,245.92021941950665,207.6105783008461,200.4709618817438,206.84124377340095,245.49178294014516
257.4183131932268,203.79547555281653,204.46714849810635,196.52539425315882,216.48501454899946,192.881729340319,45000,209.98409868683075,198.13172727008373,238.7477840225244,265.24887223505164,194.4068919043409,214.24886465697074,206.4979047521278,290.7685592533501,211.34757694720813,204.75432767176292,360.14394111384513,208.27045306513304,269.2589273945885,208.02799674494187,213.9942453420581,211.33894854948323,199.32416569800378,191.61550659257432,205.25913156750943,245.92021941950665,207.6105783008461,200.4709618817438,206.84124377340095,245.49178294014516
257.4183131932268,203.79547555281653,204.46714849810635,196.52539425315882,216.48501454899946,192.881729340319,46000,209.98409868683075,198.13172727008373,238.7477840225244,265.24887223505164,194.4068919043409,214.24886465697074,206.4979047521278,290.7685592533501,211.34757694720813,204.75432767176292,360.14394111384513,208.27045306513304,269.2589273945885,208.02799674494187,213.9942453420581,211.33894854948323,199.32416569800378,191.61550659257432,205.25913156750943,245.92021941950665,207.6105783008461,200.4709618817438,206.84124377340095,245.49178294014516
257.4183131932268,204.46714849810635,204.75432767176292,199.32416569800378,216.48501454899946,196.52539425315882,47000,209.98409868683075,200.4709618817438,238.7477840225244,265.24887223505164,198.13172727008373,214.24886465697074,206.84124377340095,290.7685592533501,211.34757694720813,205.25913156750943,360.14394111384513,209.01188868892706,269.2589273945885,208.27045306513304,213.9942453420581,211.33894854948323,202.2460499975909,194.4068919043409,206.4979047521278,245.92021941950665,208.02799674494187,203.79547555281653,207.6105783008461,245.49178294014516
257.4183131932268,204.75432767176292,205.25913156750943,200.4709618817438,216.48501454899946,198.13172727008373,48000,209.98409868683075,202.2460499975909,238.7477840225244,265.24887223505164,199.32416569800378,214.24886465697074,207.6105783008461,290.7685592533501,211.34757694720813,206.4979047521278,360.14394111384513,209.54821689973159,269.2589273945885,209.01188868892706,213.9942453420581,211.33894854948323,203.79547555281653,196.52539425315882,206.84124377340095,245.92021941950665,208.27045306513304,204.46714849810635,208.02799674494187,245.49178294014516
257.4183131932268,204.75432767176292,205.25913156750943,202.2460499975909,216.48501454899946,199.32416569800378,49000,209.98409868683075,203.79547555281653,238.7477840225244,265.24887223505164,200.4709618817438,214.24886465697074,207.6105783008461,290.7685592533501,211.34757694720813,206.4979047521278,360.14394111384513,209.54821689973159,269.2589273945885,209.01188868892706,213.9942453420581,211.33894854948323,204.46714849810635,198.13172727008373,206.84124377340095,245.92021941950665,208.27045306513304,204.56783528118768,208.02799674494187,245.49178294014516
257.4183131932268,204.75432767176292,205.25913156750943,202.2460499975909,216.48501454899946,199.32416569800378,50000,209.98409868683075,203.79547555281653,238.7477840225244,265.24887223505164,200.4709618817438,214.24886465697074,207.6105783008461,290.7685592533501,211.34757694720813,206.4979047521278,360.14394111384513,209.54821689973159,269.2589273945885,209.01188868892706,213.9942453420581,211.33894854948323,204.46714849810635,198.13172727008373,206.84124377340095,245.92021941950665,208.27045306513304,204.56783528118768,208.02799674494187,245.49178294014516
257.4183131932268,204.75432767176292,205.25913156750943,202.2460499975909,216.48501454899946,199.32416569800378,51000,209.98409868683075,203.79547555281653,238.7477840225244,265.24887223505164,200.4709618817438,214.24886465697074,207.6105783008461,290.7685592533501,211.34757694720813,206.4979047521278,360.14394111384513,209.54821689973159,269.2589273945885,209.01188868892706,213.9942453420581,211.33894854948323,204.46714849810635,198.13172727008373,206.84124377340095,245.92021941950665,208.27045306513304,204.56783528118768,208.02799674494187,245.49178294014516
257.4183131932268,204.75432767176292,205.25913156750943,202.2460499975909,216.48501454899946,200.4709618817438,52000,209.98409868683075,203.79547555281653,238.7477840225244,265.24887223505164,201.0401901387945,214.24886465697074,207.6105783008461,290.7685592533501,211.34757694720813,206.4979047521278,360.14394111384513,209.54821689973159,269.2589273945885,209.01188868892706,213.9942453420581,211.33894854948323,204.46714849810635,199.32416569800378,206.84124377340095,245.92021941950665,208.27045306513304,204.56783528118768,208.02799674494187,245.49178294014516
257.4183131932268,205.25913156750943,206.4979047521278,203.79547555281653,221.69694450492455,201.0401901387945,53000,211.33894854948323,204.46714849810635,238.7477840225244,265.24887223505164,202.2460499975909,216.48501454899946,208.02799674494187,290.7685592533501,213.9942453420581,206.84124377340095,360.14394111384513,209.98409868683075,269.2589273945885,209.54821689973159,214.24886465697074,211.34757694720813,204.56783528118768,200.4709618817438,207.6105783008461,245.92021941950665,209.01188868892706,204.75432767176292,208.27045306513304,245.49178294014516
