reward 15,reward 4,reward 5,reward 7,reward 22,reward 1,reward 25,reward 19,reward 6,reward 28,reward 20,reward 24,reward 8,reward 29,reward 23,reward 27,reward 10,reward 3,reward 14,reward 21,reward 13,reward 12,reward 9,reward 2,reward 11,reward 0,reward 17,reward 18,StepNum,reward 26,reward 16
189.573102493265,219.69554679362764,213.2364932203032,203.0757147685789,179.80909349156497,255.57177282983372,178.27037911631777,182.87251168900067,211.54979515628372,174.92891430481907,181.0115365389909,178.56227059432976,200.79504417235353,174.88958552557776,179.66546126247118,175.7073078358437,200.6273673637632,228.7189831266801,190.20132747294915,180.13868574539347,194.71535624982198,194.92825875501242,200.64729830554901,240.23562240468056,197.98190215782216,343.7166753395228,188.60822230703016,184.35471801178124,21000,176.7657239426523,189.53505977731112
190.20132747294915,219.69554679362764,216.76924226376192,211.54979515628372,180.13868574539347,255.57177282983372,178.56227059432976,184.35471801178124,213.2364932203032,175.7073078358437,182.87251168900067,179.66546126247118,203.0757147685789,174.92891430481907,179.80909349156497,176.7657239426523,200.64729830554901,228.7189831266801,194.71535624982198,181.0115365389909,194.92825875501242,197.98190215782216,200.79504417235353,240.23562240468056,200.6273673637632,343.7166753395228,189.53505977731112,188.60822230703016,22000,178.27037911631777,189.573102493265
194.71535624982198,219.69554679362764,216.76924226376192,213.2364932203032,181.0115365389909,255.57177282983372,179.66546126247118,188.60822230703016,214.60431059777085,176.7657239426523,184.35471801178124,179.80909349156497,211.54979515628372,175.7073078358437,180.13868574539347,178.27037911631777,200.79504417235353,228.7189831266801,194.92825875501242,182.87251168900067,197.98190215782216,200.6273673637632,203.0757147685789,240.23562240468056,200.64729830554901,343.7166753395228,189.573102493265,189.53505977731112,23000,178.56227059432976,190.20132747294915
194.71535624982198,219.69554679362764,216.76924226376192,213.2364932203032,182.87251168900067,255.57177282983372,179.80909349156497,188.60822230703016,214.60431059777085,178.27037911631777,184.35471801178124,180.13868574539347,211.54979515628372,176.7657239426523,181.0115365389909,178.56227059432976,200.79504417235353,228.7189831266801,194.92825875501242,183.99951730486768,197.98190215782216,200.6273673637632,203.0757147685789,240.23562240468056,200.64729830554901,343.7166753395228,189.573102493265,189.53505977731112,24000,179.66546126247118,190.20132747294915
194.92825875501242,219.69554679362764,216.76924226376192,213.2364932203032,183.99951730486768,255.57177282983372,180.13868574539347,189.53505977731112,214.60431059777085,178.56227059432976,188.60822230703016,181.0115365389909,211.54979515628372,178.27037911631777,182.87251168900067,179.66546126247118,200.79504417235353,228.7189831266801,197.98190215782216,184.35471801178124,199.81660717491036,200.6273673637632,203.0757147685789,240.23562240468056,200.64729830554901,343.7166753395228,190.20132747294915,189.573102493265,25000,179.80909349156497,194.71535624982198
194.92825875501242,219.69554679362764,216.76924226376192,213.2364932203032,183.99951730486768,255.57177282983372,180.13868574539347,189.53505977731112,214.60431059777085,178.56227059432976,188.60822230703016,181.0115365389909,211.54979515628372,178.27037911631777,182.87251168900067,179.66546126247118,200.79504417235353,228.7189831266801,197.98190215782216,184.35471801178124,199.81660717491036,200.6273673637632,203.0757147685789,240.23562240468056,200.64729830554901,343.7166753395228,190.20132747294915,189.573102493265,26000,179.80909349156497,194.71535624982198
197.69441437227266,219.69554679362764,216.76924226376192,213.2364932203032,184.35471801178124,255.57177282983372,181.67134946905858,189.573102493265,214.60431059777085,179.80909349156497,189.53505977731112,182.87251168900067,211.54979515628372,179.66546126247118,183.99951730486768,180.13868574539347,200.79504417235353,228.7189831266801,197.98190215782216,188.60822230703016,199.81660717491036,200.6273673637632,203.0757147685789,240.23562240468056,200.64729830554901,343.7166753395228,194.71535624982198,190.20132747294915,27000,181.0115365389909,194.92825875501242
199.81660717491036,240.23562240468056,228.7189831266801,216.76924226376192,189.53505977731112,264.1699171651725,184.35471801178124,194.71535624982198,219.69554679362764,181.67134946905858,190.20132747294915,187.78457548466898,214.60431059777085,181.0115365389909,188.60822230703016,182.87251168900067,211.54979515628372,255.57177282983372,200.6273673637632,189.573102493265,200.64729830554901,200.79504417235353,213.2364932203032,258.64832947660426,203.0757147685789,343.7166753395228,197.69441437227266,194.92825875501242,28000,183.99951730486768,197.98190215782216
199.81660717491036,240.23562240468056,228.7189831266801,216.76924226376192,189.53505977731112,264.1699171651725,184.35471801178124,194.71535624982198,219.69554679362764,181.67134946905858,190.20132747294915,187.78457548466898,214.60431059777085,181.0115365389909,188.60822230703016,182.87251168900067,211.54979515628372,255.57177282983372,200.6273673637632,189.573102493265,200.64729830554901,200.79504417235353,213.2364932203032,258.64832947660426,203.0757147685789,343.7166753395228,197.69441437227266,194.92825875501242,29000,183.99951730486768,197.98190215782216
199.81660717491036,240.23562240468056,228.7189831266801,216.76924226376192,189.53505977731112,264.1699171651725,184.35471801178124,194.71535624982198,219.69554679362764,181.67134946905858,190.20132747294915,187.78457548466898,214.60431059777085,181.0115365389909,188.60822230703016,182.87251168900067,211.54979515628372,255.57177282983372,200.6273673637632,189.573102493265,200.64729830554901,200.79504417235353,213.2364932203032,258.64832947660426,203.0757147685789,343.7166753395228,197.69441437227266,194.92825875501242,30000,183.99951730486768,197.98190215782216
200.6273673637632,240.23562240468056,228.7189831266801,216.76924226376192,189.573102493265,264.1699171651725,187.78457548466898,194.92825875501242,219.69554679362764,182.87251168900067,194.71535624982198,188.60822230703016,214.60431059777085,181.67134946905858,189.53505977731112,183.99951730486768,211.91788906744142,255.57177282983372,200.64729830554901,190.20132747294915,200.79504417235353,203.0757147685789,213.2364932203032,258.64832947660426,211.54979515628372,343.7166753395228,197.98190215782216,197.69441437227266,31000,184.35471801178124,199.81660717491036
200.64729830554901,240.23562240468056,228.7189831266801,216.87216334084246,190.20132747294915,264.1699171651725,188.60822230703016,197.69441437227266,219.69554679362764,184.35471801178124,194.92825875501242,189.53505977731112,216.76924226376192,183.99951730486768,189.573102493265,187.78457548466898,213.2364932203032,255.57177282983372,200.79504417235353,194.71535624982198,203.0757147685789,211.54979515628372,214.60431059777085,258.64832947660426,211.91788906744142,343.7166753395228,199.81660717491036,197.98190215782216,32000,188.52293926844317,200.6273673637632
200.79504417235353,240.23562240468056,228.7189831266801,216.87216334084246,194.71535624982198,264.1699171651725,189.53505977731112,197.98190215782216,219.69554679362764,187.78457548466898,197.69441437227266,189.573102493265,216.76924226376192,184.35471801178124,190.20132747294915,188.52293926844317,213.2364932203032,255.57177282983372,203.0757147685789,194.92825875501242,204.2256410905695,211.54979515628372,214.60431059777085,258.64832947660426,211.91788906744142,343.7166753395228,200.6273673637632,199.81660717491036,33000,188.60822230703016,200.64729830554901
200.79504417235353,240.23562240468056,228.7189831266801,216.87216334084246,194.71535624982198,264.1699171651725,189.573102493265,197.98190215782216,219.69554679362764,188.52293926844317,197.69441437227266,190.20132747294915,216.76924226376192,187.78457548466898,191.27198953476633,188.60822230703016,213.2364932203032,255.57177282983372,203.0757147685789,194.92825875501242,204.2256410905695,211.54979515628372,214.60431059777085,258.64832947660426,211.91788906744142,343.7166753395228,200.6273673637632,199.81660717491036,34000,189.53505977731112,200.64729830554901
200.79504417235353,240.23562240468056,228.7189831266801,216.87216334084246,194.71535624982198,264.1699171651725,189.573102493265,197.98190215782216,219.69554679362764,188.52293926844317,197.69441437227266,190.20132747294915,216.76924226376192,187.78457548466898,191.27198953476633,188.60822230703016,213.2364932203032,255.57177282983372,203.0757147685789,194.92825875501242,204.2256410905695,211.54979515628372,214.60431059777085,258.64832947660426,211.91788906744142,343.7166753395228,200.6273673637632,199.81660717491036,35000,189.53505977731112,200.64729830554901
203.0757147685789,240.23562240468056,228.7189831266801,216.87216334084246,197.69441437227266,264.1699171651725,194.65530501070276,200.6273673637632,219.69554679362764,190.20132747294915,199.81660717491036,194.71535624982198,216.76924226376192,189.573102493265,194.92825875501242,191.27198953476633,213.2364932203032,255.57177282983372,204.2256410905695,197.98190215782216,209.16031372457124,211.54979515628372,214.60431059777085,258.64832947660426,211.91788906744142,343.7166753395228,200.79504417235353,200.64729830554901,36000,191.30812875539303,201.4311051704535
