reward 19,reward 11,reward 8,reward 29,StepNum,reward 1,reward 28,reward 25,reward 7,reward 22,reward 0,reward 15,reward 10,reward 17,reward 18,reward 9,reward 4,reward 27,reward 5,reward 2,reward 20,reward 16,reward 24,reward 12,reward 3,reward 13,reward 14,reward 21,reward 23,reward 6,reward 26
279.739087188816,309.82892019038036,317.6168624800791,253.80919217157097,31000,374.59167660652037,253.85594812352443,262.0795170020089,322.13533983159584,270.38047687136293,407.2138798029901,297.74891953255815,311.2566242177317,284.45743793721215,283.68121836995493,314.40913133517745,332.17923790804036,256.04458567430225,322.4499256421668,368.7829471585018,278.8542530450188,288.4986045299253,263.2855039300623,309.2136076694738,342.91913605282195,308.9263850426993,304.30376584310375,270.96302911691356,268.31661464996233,322.3946102560306,261.98923177800447
279.739087188816,309.82892019038036,317.6168624800791,253.80919217157097,32000,374.59167660652037,253.85594812352443,262.0795170020089,322.13533983159584,270.38047687136293,407.2138798029901,297.74891953255815,311.2566242177317,284.45743793721215,283.68121836995493,314.40913133517745,332.17923790804036,256.04458567430225,322.4499256421668,368.7829471585018,278.8542530450188,288.4986045299253,263.2855039300623,309.2136076694738,342.91913605282195,308.9263850426993,304.30376584310375,270.96302911691356,268.31661464996233,322.3946102560306,261.98923177800447
279.739087188816,309.82892019038036,317.6168624800791,256.04458567430225,33000,374.59167660652037,261.98923177800447,266.9354877445136,322.13533983159584,270.38047687136293,407.2138798029901,297.74891953255815,311.2566242177317,284.45743793721215,283.68121836995493,314.40913133517745,332.17923790804036,262.0795170020089,322.4499256421668,368.7829471585018,278.8542530450188,288.4986045299253,268.31661464996233,309.2136076694738,342.91913605282195,308.9263850426993,304.30376584310375,270.96302911691356,270.11691784136553,322.3946102560306,263.2855039300623
284.45743793721215,309.82892019038036,317.6168624800791,262.0795170020089,34000,374.59167660652037,263.2855039300623,270.11691784136553,322.13533983159584,278.8542530450188,407.2138798029901,304.30376584310375,311.2566242177317,288.8472694451518,288.4986045299253,314.40913133517745,332.17923790804036,266.9354877445136,322.4499256421668,368.7829471585018,283.68121836995493,297.74891953255815,270.38047687136293,309.2136076694738,342.91913605282195,308.9263850426993,308.6746991473207,279.739087188816,270.96302911691356,322.3946102560306,268.31661464996233
284.45743793721215,309.82892019038036,317.6168624800791,262.0795170020089,35000,374.59167660652037,263.2855039300623,270.11691784136553,322.13533983159584,278.8542530450188,407.2138798029901,304.30376584310375,311.2566242177317,288.8472694451518,288.4986045299253,314.40913133517745,332.17923790804036,266.9354877445136,322.4499256421668,368.7829471585018,283.68121836995493,297.74891953255815,270.38047687136293,309.2136076694738,342.91913605282195,308.9263850426993,308.6746991473207,279.739087188816,270.96302911691356,322.3946102560306,268.31661464996233
284.45743793721215,309.82892019038036,317.6168624800791,262.0795170020089,36000,374.59167660652037,263.2855039300623,270.11691784136553,322.13533983159584,278.8542530450188,407.2138798029901,304.30376584310375,311.2566242177317,288.8472694451518,288.4986045299253,314.40913133517745,332.17923790804036,266.9354877445136,322.4499256421668,368.7829471585018,283.68121836995493,297.74891953255815,270.38047687136293,309.2136076694738,342.91913605282195,308.9263850426993,308.6746991473207,279.739087188816,270.96302911691356,322.3946102560306,268.31661464996233
284.45743793721215,309.82892019038036,317.6168624800791,262.0795170020089,37000,374.59167660652037,263.2855039300623,270.11691784136553,322.13533983159584,278.8542530450188,407.2138798029901,304.30376584310375,311.2566242177317,288.8472694451518,288.4986045299253,314.40913133517745,332.17923790804036,266.9354877445136,322.4499256421668,368.7829471585018,283.68121836995493,297.74891953255815,270.38047687136293,309.2136076694738,342.91913605282195,308.9263850426993,308.6746991473207,279.739087188816,270.96302911691356,322.3946102560306,268.31661464996233
284.45743793721215,309.82892019038036,317.6168624800791,262.0795170020089,38000,374.59167660652037,263.2855039300623,270.11691784136553,322.13533983159584,278.8542530450188,407.2138798029901,304.30376584310375,311.2566242177317,288.8472694451518,288.4986045299253,314.40913133517745,332.17923790804036,266.9354877445136,322.4499256421668,368.7829471585018,283.68121836995493,297.74891953255815,270.38047687136293,309.2136076694738,342.91913605282195,308.9263850426993,308.6746991473207,279.739087188816,270.96302911691356,322.3946102560306,268.31661464996233
284.45743793721215,309.82892019038036,317.6168624800791,262.0795170020089,39000,374.59167660652037,263.2855039300623,270.11691784136553,322.13533983159584,278.8542530450188,407.2138798029901,304.30376584310375,311.2566242177317,288.8472694451518,288.4986045299253,314.40913133517745,332.17923790804036,266.9354877445136,322.4499256421668,368.7829471585018,283.68121836995493,297.74891953255815,270.38047687136293,309.2136076694738,342.91913605282195,308.9263850426993,308.6746991473207,279.739087188816,270.96302911691356,322.3946102560306,268.31661464996233
284.45743793721215,309.82892019038036,317.6168624800791,263.2855039300623,40000,374.59167660652037,266.9354877445136,270.38047687136293,322.13533983159584,278.8542530450188,407.2138798029901,304.30376584310375,311.2566242177317,288.8472694451518,288.4986045299253,314.40913133517745,332.17923790804036,268.31661464996233,322.4499256421668,368.7829471585018,283.68121836995493,297.74891953255815,270.96302911691356,309.2136076694738,342.91913605282195,308.9263850426993,308.6746991473207,279.739087188816,277.63946301393435,322.3946102560306,270.11691784136553
