reward 22,reward 7,reward 2,reward 24,reward 1,reward 17,reward 3,reward 9,reward 26,StepNum,reward 25,reward 18,reward 28,reward 8,reward 15,reward 20,reward 6,reward 19,reward 14,reward 11,reward 4,reward 0,reward 21,reward 10,reward 23,reward 12,reward 27,reward 5,reward 29,reward 16,reward 13
167.22414794465746,367.182626596038,401.9926776663359,166.57176233026297,435.3561975417414,230.90147934009823,382.887896122621,348.52907473628443,166.02835076820827,35000,166.08633971352901,230.24043361545876,165.44204869836517,355.78960747448036,233.4938721630461,169.8768148507566,369.8773628932794,226.19688832247263,233.82930569942732,242.63007888737062,380.2867603608944,441.3980236939136,168.36844822754384,245.29345606374602,167.01608094904026,242.1044110002045,165.57036447046823,376.9217977302163,165.1801081679992,232.03981953374043,236.96976531149394
168.36844822754384,367.182626596038,401.9926776663359,167.01608094904026,435.3561975417414,230.90147934009823,382.887896122621,348.52907473628443,166.08633971352901,36000,166.57176233026297,230.24043361545876,165.57036447046823,355.78960747448036,233.4938721630461,224.12151222715576,369.8773628932794,226.19688832247263,233.82930569942732,242.63007888737062,380.2867603608944,441.3980236939136,169.8768148507566,245.29345606374602,167.22414794465746,242.1044110002045,166.02835076820827,376.9217977302163,165.44204869836517,232.03981953374043,236.96976531149394
168.36844822754384,367.182626596038,401.9926776663359,167.01608094904026,435.3561975417414,230.90147934009823,382.887896122621,348.52907473628443,166.08633971352901,37000,166.57176233026297,230.24043361545876,165.57036447046823,355.78960747448036,233.4938721630461,224.12151222715576,369.8773628932794,226.19688832247263,233.82930569942732,242.63007888737062,380.2867603608944,441.3980236939136,169.8768148507566,245.29345606374602,167.22414794465746,242.1044110002045,166.02835076820827,376.9217977302163,165.44204869836517,232.03981953374043,236.96976531149394
168.36844822754384,367.182626596038,401.9926776663359,167.01608094904026,435.3561975417414,230.90147934009823,382.887896122621,348.52907473628443,166.08633971352901,38000,166.57176233026297,230.24043361545876,165.57036447046823,355.78960747448036,233.4938721630461,224.12151222715576,369.8773628932794,226.19688832247263,233.82930569942732,242.63007888737062,380.2867603608944,441.3980236939136,169.8768148507566,245.29345606374602,167.22414794465746,242.1044110002045,166.02835076820827,376.9217977302163,165.44204869836517,232.03981953374043,236.96976531149394
168.36844822754384,367.182626596038,401.9926776663359,167.01608094904026,435.3561975417414,230.90147934009823,382.887896122621,348.52907473628443,166.08633971352901,39000,166.57176233026297,230.24043361545876,165.57036447046823,355.78960747448036,233.4938721630461,224.12151222715576,369.8773628932794,226.19688832247263,233.82930569942732,242.63007888737062,380.2867603608944,441.3980236939136,169.8768148507566,245.29345606374602,167.22414794465746,242.1044110002045,166.02835076820827,376.9217977302163,165.44204869836517,232.03981953374043,236.96976531149394
168.36844822754384,367.182626596038,401.9926776663359,167.01608094904026,435.3561975417414,230.90147934009823,382.887896122621,348.52907473628443,166.08633971352901,40000,166.57176233026297,230.24043361545876,165.57036447046823,355.78960747448036,233.4938721630461,224.12151222715576,369.8773628932794,226.19688832247263,233.82930569942732,242.63007888737062,380.2867603608944,441.3980236939136,169.8768148507566,245.29345606374602,167.22414794465746,242.1044110002045,166.02835076820827,376.9217977302163,165.44204869836517,232.03981953374043,236.96976531149394
168.36844822754384,367.182626596038,401.9926776663359,167.01608094904026,435.3561975417414,230.90147934009823,382.887896122621,348.52907473628443,166.08633971352901,41000,166.57176233026297,230.24043361545876,165.57036447046823,355.78960747448036,233.4938721630461,224.12151222715576,369.8773628932794,226.19688832247263,233.82930569942732,242.63007888737062,380.2867603608944,441.3980236939136,169.8768148507566,245.29345606374602,167.22414794465746,242.1044110002045,166.02835076820827,376.9217977302163,165.44204869836517,232.03981953374043,236.96976531149394
168.36844822754384,367.182626596038,401.9926776663359,167.01608094904026,435.3561975417414,230.90147934009823,382.887896122621,348.52907473628443,166.08633971352901,42000,166.57176233026297,230.24043361545876,165.57036447046823,355.78960747448036,233.4938721630461,224.12151222715576,369.8773628932794,226.19688832247263,233.82930569942732,242.63007888737062,380.2867603608944,441.3980236939136,169.8768148507566,245.29345606374602,167.22414794465746,242.1044110002045,166.02835076820827,376.9217977302163,165.44204869836517,232.03981953374043,236.96976531149394
168.36844822754384,367.182626596038,401.9926776663359,167.01608094904026,435.3561975417414,230.90147934009823,382.887896122621,348.52907473628443,166.08633971352901,43000,166.57176233026297,230.24043361545876,165.57036447046823,355.78960747448036,233.4938721630461,224.12151222715576,369.8773628932794,226.19688832247263,233.82930569942732,242.63007888737062,380.2867603608944,441.3980236939136,169.8768148507566,245.29345606374602,167.22414794465746,242.1044110002045,166.02835076820827,376.9217977302163,165.44204869836517,232.03981953374043,236.96976531149394
168.36844822754384,367.182626596038,401.9926776663359,167.01608094904026,435.3561975417414,230.90147934009823,382.887896122621,348.52907473628443,166.08633971352901,44000,166.57176233026297,230.24043361545876,165.57036447046823,355.78960747448036,233.4938721630461,224.12151222715576,369.8773628932794,226.19688832247263,233.82930569942732,242.63007888737062,380.2867603608944,441.3980236939136,169.8768148507566,245.29345606374602,167.22414794465746,242.1044110002045,166.02835076820827,376.9217977302163,165.44204869836517,232.03981953374043,236.96976531149394
