reward 7,reward 15,reward 11,reward 9,reward 19,reward 29,reward 23,reward 10,reward 3,reward 6,reward 18,reward 14,reward 24,reward 25,reward 13,reward 8,reward 0,reward 26,reward 12,reward 27,reward 21,reward 5,StepNum,reward 17,reward 16,reward 20,reward 4,reward 1,reward 22,reward 28,reward 2
270.61438685725295,243.50836280624426,265.1429069974418,267.9216187364138,241.28621532484044,233.09141213088654,235.41702571541288,267.4470678590329,288.99602482429134,277.27516472251875,242.58586523728354,244.81667428278044,235.18536151783186,234.80531168744156,247.32833643899565,268.35254981138735,320.33415759863965,234.7420106150082,254.21064923740443,234.42031345118335,240.46561571722754,284.09223893105263,33000,242.6494469609142,243.4662689232808,240.745485556911,286.7734381886662,312.7024662745111,239.97371398206678,233.7161470115282,293.9028817606384
275.79541336599084,244.81667428278044,267.4470678590329,268.35254981138735,242.58586523728354,233.7161470115282,239.97371398206678,267.9216187364138,288.99602482429134,277.27516472251875,242.6494469609142,247.32833643899565,235.41702571541288,235.18536151783186,254.21064923740443,270.61438685725295,320.33415759863965,234.80531168744156,265.1429069974418,234.7420106150082,240.745485556911,284.09223893105263,34000,243.4662689232808,243.50836280624426,241.28621532484044,286.7734381886662,312.7024662745111,240.46561571722754,234.42031345118335,293.9028817606384
275.79541336599084,244.81667428278044,267.4470678590329,268.35254981138735,242.58586523728354,233.7161470115282,239.97371398206678,267.9216187364138,288.99602482429134,277.27516472251875,242.6494469609142,247.32833643899565,235.41702571541288,235.18536151783186,254.21064923740443,270.61438685725295,320.33415759863965,234.80531168744156,265.1429069974418,234.7420106150082,240.745485556911,284.09223893105263,35000,243.4662689232808,243.50836280624426,241.28621532484044,286.7734381886662,312.7024662745111,240.46561571722754,234.42031345118335,293.9028817606384
275.79541336599084,244.81667428278044,267.4470678590329,268.35254981138735,242.58586523728354,233.7161470115282,239.97371398206678,267.9216187364138,288.99602482429134,277.27516472251875,242.6494469609142,247.32833643899565,235.41702571541288,235.18536151783186,254.21064923740443,270.61438685725295,320.33415759863965,234.80531168744156,265.1429069974418,234.7420106150082,240.745485556911,284.09223893105263,36000,243.4662689232808,243.50836280624426,241.28621532484044,286.7734381886662,312.7024662745111,240.46561571722754,234.42031345118335,293.9028817606384
275.79541336599084,244.81667428278044,267.4470678590329,268.35254981138735,242.58586523728354,233.7161470115282,239.97371398206678,267.9216187364138,288.99602482429134,277.27516472251875,242.6494469609142,247.32833643899565,235.41702571541288,235.18536151783186,254.21064923740443,270.61438685725295,320.33415759863965,234.80531168744156,265.1429069974418,234.7420106150082,240.745485556911,284.09223893105263,37000,243.4662689232808,243.50836280624426,241.28621532484044,286.7734381886662,312.7024662745111,240.46561571722754,234.42031345118335,293.9028817606384
275.79541336599084,244.81667428278044,267.4470678590329,268.35254981138735,242.58586523728354,233.7161470115282,239.97371398206678,267.9216187364138,288.99602482429134,277.27516472251875,242.6494469609142,247.32833643899565,235.41702571541288,235.18536151783186,254.21064923740443,270.61438685725295,320.33415759863965,234.80531168744156,265.1429069974418,234.7420106150082,240.745485556911,284.09223893105263,38000,243.4662689232808,243.50836280624426,241.28621532484044,286.7734381886662,312.7024662745111,240.46561571722754,234.42031345118335,293.9028817606384
277.27516472251875,247.32833643899565,267.9216187364138,270.61438685725295,242.6494469609142,234.42031345118335,240.46561571722754,268.35254981138735,293.9028817606384,284.09223893105263,243.4662689232808,254.21064923740443,239.97371398206678,235.41702571541288,265.1429069974418,275.79541336599084,320.33415759863965,235.18536151783186,267.4470678590329,234.80531168744156,241.28621532484044,286.7734381886662,39000,243.50836280624426,244.81667428278044,242.58586523728354,288.99602482429134,318.32946953605017,240.745485556911,234.7420106150082,312.7024662745111
277.27516472251875,251.34622884400414,267.9216187364138,270.61438685725295,243.50836280624426,234.80531168744156,241.28621532484044,268.35254981138735,293.9028817606384,284.09223893105263,244.81667428278044,254.21064923740443,240.745485556911,240.46561571722754,265.1429069974418,275.79541336599084,320.33415759863965,239.97371398206678,267.4470678590329,235.41702571541288,242.6494469609142,286.7734381886662,40000,247.32833643899565,248.10515835337003,243.4662689232808,288.99602482429134,318.32946953605017,242.58586523728354,235.18536151783186,312.7024662745111
277.27516472251875,251.34622884400414,267.9216187364138,270.61438685725295,243.50836280624426,235.18536151783186,241.28621532484044,268.35254981138735,293.9028817606384,284.09223893105263,244.81667428278044,254.21064923740443,240.745485556911,240.46561571722754,265.1429069974418,275.79541336599084,320.33415759863965,239.97371398206678,267.4470678590329,239.56025633303352,242.6494469609142,286.7734381886662,41000,247.32833643899565,248.10515835337003,243.4662689232808,288.99602482429134,318.32946953605017,242.58586523728354,235.41702571541288,312.7024662745111
277.27516472251875,251.34622884400414,267.9216187364138,270.61438685725295,243.50836280624426,235.18536151783186,241.28621532484044,268.35254981138735,293.9028817606384,284.09223893105263,244.81667428278044,254.21064923740443,240.745485556911,240.46561571722754,265.1429069974418,275.79541336599084,320.33415759863965,239.97371398206678,267.4470678590329,239.56025633303352,242.6494469609142,286.7734381886662,42000,247.32833643899565,248.10515835337003,243.4662689232808,288.99602482429134,318.32946953605017,242.58586523728354,235.41702571541288,312.7024662745111
284.09223893105263,254.21064923740443,268.35254981138735,275.79541336599084,244.81667428278044,235.41702571541288,242.58586523728354,270.61438685725295,298.74873305107184,286.7734381886662,247.32833643899565,265.1429069974418,241.28621532484044,240.745485556911,267.4470678590329,277.27516472251875,320.33415759863965,240.46561571722754,267.9216187364138,239.97371398206678,243.4662689232808,288.99602482429134,43000,248.10515835337003,251.34622884400414,243.50836280624426,293.9028817606384,318.32946953605017,242.6494469609142,239.56025633303352,312.7024662745111
284.09223893105263,254.21064923740443,268.35254981138735,275.79541336599084,244.81667428278044,235.41702571541288,242.58586523728354,270.61438685725295,298.74873305107184,286.7734381886662,247.32833643899565,265.1429069974418,241.28621532484044,240.745485556911,267.4470678590329,277.27516472251875,320.33415759863965,240.46561571722754,267.9216187364138,239.97371398206678,243.4662689232808,288.99602482429134,44000,248.10515835337003,251.34622884400414,243.50836280624426,293.9028817606384,318.32946953605017,242.6494469609142,239.56025633303352,312.7024662745111
