reward 27,reward 2,StepNum,reward 1,reward 11,reward 14,reward 10,reward 12,reward 6,reward 23,reward 13,reward 9,reward 29,reward 21,reward 26,reward 3,reward 7,reward 28,reward 0,reward 16,reward 4,reward 24,reward 18,reward 15,reward 25,reward 20,reward 19,reward 22,reward 17,reward 8,reward 5
194.11709786361303,335.396697950973,31000,341.30984615476393,253.74160865901752,241.3110032717216,255.3046229567508,248.81280135149012,279.6683753997426,199.13436686792858,247.13862449191225,256.1335995809985,193.40372462739572,202.156022482803,194.7580067692557,332.1813594006932,264.98130047053667,193.86794623363826,347.9386215549627,229.19102322449794,295.5981498381689,198.54954347775578,213.84294743219112,230.53830052115583,196.14331133486348,207.6221728057485,213.18694402329834,201.92038768882622,215.71822908450292,261.4200580270982,286.0804225473714
194.7580067692557,335.396697950973,32000,341.30984615476393,255.3046229567508,247.13862449191225,256.1335995809985,253.74160865901752,286.0804225473714,201.92038768882622,248.81280135149012,261.4200580270982,193.86794623363826,207.6221728057485,196.14331133486348,332.1813594006932,279.6683753997426,194.11709786361303,347.9386215549627,230.53830052115583,299.98199883455766,199.13436686792858,215.71822908450292,241.3110032717216,198.54954347775578,213.18694402329834,213.84294743219112,202.156022482803,229.19102322449794,264.98130047053667,295.5981498381689
194.7580067692557,335.396697950973,33000,341.30984615476393,255.3046229567508,247.13862449191225,256.1335995809985,253.74160865901752,286.0804225473714,201.92038768882622,248.81280135149012,261.4200580270982,193.86794623363826,207.6221728057485,196.14331133486348,332.1813594006932,279.6683753997426,194.11709786361303,347.9386215549627,230.53830052115583,299.98199883455766,199.13436686792858,215.71822908450292,241.3110032717216,198.54954347775578,213.18694402329834,213.84294743219112,202.156022482803,229.19102322449794,264.98130047053667,295.5981498381689
198.54954347775578,335.396697950973,34000,341.30984615476393,256.1335995809985,249.54976269025633,261.4200580270982,255.3046229567508,286.0804225473714,207.6221728057485,253.74160865901752,264.98130047053667,194.7580067692557,213.84294743219112,199.13436686792858,332.1813594006932,279.6683753997426,196.14331133486348,347.9386215549627,247.13862449191225,299.98199883455766,202.156022482803,230.53830052115583,248.81280135149012,201.92038768882622,215.71822908450292,229.19102322449794,213.18694402329834,241.3110032717216,267.5633421590237,295.5981498381689
198.54954347775578,335.396697950973,35000,341.30984615476393,256.1335995809985,249.54976269025633,261.4200580270982,255.3046229567508,286.0804225473714,207.6221728057485,253.74160865901752,264.98130047053667,194.7580067692557,213.84294743219112,199.13436686792858,332.1813594006932,279.6683753997426,196.14331133486348,347.9386215549627,247.13862449191225,299.98199883455766,202.156022482803,230.53830052115583,248.81280135149012,201.92038768882622,215.71822908450292,229.19102322449794,213.18694402329834,241.3110032717216,267.5633421590237,295.5981498381689
199.13436686792858,335.396697950973,36000,341.30984615476393,256.1335995809985,249.54976269025633,261.4200580270982,255.3046229567508,286.0804225473714,207.6221728057485,253.74160865901752,264.98130047053667,196.14331133486348,213.84294743219112,201.92038768882622,332.1813594006932,279.6683753997426,198.54954347775578,347.9386215549627,247.13862449191225,299.98199883455766,205.3941251017945,230.53830052115583,248.81280135149012,202.156022482803,215.71822908450292,229.19102322449794,213.18694402329834,241.3110032717216,267.5633421590237,295.5981498381689
199.13436686792858,335.396697950973,37000,341.30984615476393,256.1335995809985,249.54976269025633,261.4200580270982,255.3046229567508,286.0804225473714,207.6221728057485,253.74160865901752,264.98130047053667,196.14331133486348,213.84294743219112,201.92038768882622,332.1813594006932,279.6683753997426,198.54954347775578,347.9386215549627,247.13862449191225,299.98199883455766,205.3941251017945,230.53830052115583,248.81280135149012,202.156022482803,215.71822908450292,229.19102322449794,213.18694402329834,241.3110032717216,267.5633421590237,295.5981498381689
205.3941251017945,341.30984615476393,38000,347.9386215549627,261.4200580270982,253.74160865901752,264.98130047053667,256.1335995809985,295.5981498381689,215.71822908450292,255.3046229567508,267.5633421590237,201.92038768882622,230.53830052115583,207.6221728057485,335.396697950973,286.0804225473714,202.156022482803,359.8640405546603,249.54976269025633,332.1813594006932,213.84294743219112,247.13862449191225,249.74027593056948,213.18694402329834,241.3110032717216,246.14206470048413,229.19102322449794,248.81280135149012,279.6683753997426,299.98199883455766
207.6221728057485,341.30984615476393,39000,347.9386215549627,261.4200580270982,255.3046229567508,264.98130047053667,259.7600252912879,295.5981498381689,229.19102322449794,256.1335995809985,267.5633421590237,202.156022482803,241.3110032717216,213.18694402329834,335.396697950973,286.0804225473714,205.3941251017945,359.8640405546603,249.74027593056948,332.1813594006932,215.71822908450292,248.81280135149012,253.74160865901752,213.84294743219112,246.14206470048413,247.13862449191225,230.53830052115583,249.54976269025633,279.6683753997426,299.98199883455766
207.6221728057485,341.30984615476393,40000,347.9386215549627,261.4200580270982,255.3046229567508,264.98130047053667,259.7600252912879,295.5981498381689,229.19102322449794,256.1335995809985,267.5633421590237,202.156022482803,241.3110032717216,213.18694402329834,335.396697950973,286.0804225473714,205.3941251017945,359.8640405546603,249.74027593056948,332.1813594006932,215.71822908450292,248.81280135149012,253.74160865901752,213.84294743219112,246.14206470048413,247.13862449191225,230.53830052115583,249.54976269025633,279.6683753997426,299.98199883455766
207.6221728057485,341.30984615476393,41000,347.9386215549627,261.4200580270982,255.3046229567508,264.98130047053667,259.7600252912879,295.5981498381689,229.19102322449794,256.1335995809985,267.5633421590237,202.156022482803,241.3110032717216,213.18694402329834,335.396697950973,286.0804225473714,205.3941251017945,359.8640405546603,249.74027593056948,332.1813594006932,215.71822908450292,248.81280135149012,253.74160865901752,213.84294743219112,246.14206470048413,247.13862449191225,230.53830052115583,249.54976269025633,279.6683753997426,299.98199883455766
207.6221728057485,341.30984615476393,42000,347.9386215549627,261.4200580270982,255.3046229567508,264.98130047053667,259.7600252912879,295.5981498381689,229.19102322449794,256.1335995809985,267.5633421590237,202.156022482803,241.3110032717216,213.18694402329834,335.396697950973,286.0804225473714,205.3941251017945,359.8640405546603,249.74027593056948,332.1813594006932,215.71822908450292,248.81280135149012,253.74160865901752,213.84294743219112,246.14206470048413,247.13862449191225,230.53830052115583,249.54976269025633,279.6683753997426,299.98199883455766
